idwine,Type,Grapes,Harmonize,name
101068,Sparkling,"['Chardonnay', 'Pinot Noir']","['Pork', 'Rich Fish', 'Shellfish', 'Soft Cheese']",Cave Geisse Philippe Dumont Champagne Brut Réserve Premier Cru
103981,Rosé,"['Syrah/Shiraz', 'Grenache']","['Pasta', 'Vegetarian', 'Appetizer', 'Snack', 'Lean Fish']",Scanivinus GW:s Rosa
105953,White,"['Chardonnay', 'Sauvignon Blanc']","['Pork', 'Rich Fish', 'Shellfish', 'Vegetarian', 'Poultry']",Jean Biecher Côtes de Saumon Chardonnay - Sauvignon Blanc
106916,Red,"['Syrah/Shiraz', 'Grenache', 'Carignan/Cari√±ena']","['Beef', 'Lamb', 'Spicy Food', 'Maturated Cheese', 'Hard Cheese']",Medinet Halbtrocken Demi Sec Rouge
107542,Red,['Cabernet Sauvignon'],"['Beef', 'Pasta', 'Veal']",Blue Nun Cabernet Sauvignon
107720,Red,['Merlot'],"['Beef', 'Pasta', 'Veal']",Blue Nun Merlot
108783,Rosé,"['Syrah/Shiraz', 'Grenache', 'Cinsault']","['Beef', 'Lamb', 'Spicy Food', 'Maturated Cheese', 'Hard Cheese']",Medinet Halbtrocken Rosé
109088,White,"['Chardonnay', 'Colombard']","['Pork', 'Rich Fish', 'Vegetarian', 'Poultry']",Medinet Blanc Demi Sec Halbtrocken
109291,Red,['Merlot'],"['Beef', 'Game Meat']",Medinet Merlot
109302,Sparkling,"['Chardonnay', 'Pinot Noir']","['Veal', 'Pork', 'Game Meat', 'Rich Fish', 'Vegetarian', 'Poultry']",Peter Mertes Charmelieu Classic Dry-Sec
109425,Red,['Grenache'],"['Beef', 'Maturated Cheese', 'Hard Cheese']",Medinet Grenache
111204,Red,['Merlot'],"['Beef', 'Pasta', 'Veal']",Peter Mertes Enjoy It Alcohol Free Merlot
111330,White,"['Chardonnay', 'Colombard']","['Pork', 'Rich Fish', 'Vegetarian', 'Poultry']",Medinet Chardonnay - Colombard
111391,Sparkling,['Chardonnay'],"['Pork', 'Rich Fish', 'Shellfish', 'Soft Cheese']",Dom Pérignon Brut Champagne
111392,Red,['Merlot'],"['Beef', 'Veal', 'Game Meat', 'Poultry']",Mouton Cadet Bordeaux Rouge
111393,Sparkling,['Chardonnay'],"['Pork', 'Rich Fish', 'Shellfish', 'Soft Cheese']",Veuve Clicquot Brut (Carte Jaune) Champagne
111394,Sparkling,"['Pinot Noir', 'Pinot Meunier', 'Chardonnay']","['Pork', 'Rich Fish', 'Shellfish', 'Soft Cheese']",Moët & Chandon Impérial Brut Champagne
111395,Red,"['Cabernet Sauvignon', 'Cabernet Franc', 'Merlot', 'Petit Verdot']","['Beef', 'Lamb', 'Game Meat', 'Poultry']",Château Mouton Rothschild Pauillac (Premier Grand Cru Classé)
111396,Red,"['Syrah/Shiraz', 'Grenache', 'Mourvedre']","['Beef', 'Lamb', 'Game Meat']",E. Guigal Côtes-du-Rhône Rouge
111397,Rosé,['Vermentino'],"['Pork', 'Shellfish', 'Vegetarian', 'Poultry']",Château d'Esclans Whispering Angel Rosé
111398,Red,['Grenache'],"['Beef', 'Lamb', 'Game Meat']",La Vieille Ferme Rouge
111399,Sparkling,['Pinot Meunier'],"['Pork', 'Rich Fish', 'Shellfish', 'Soft Cheese']",Bollinger Special Cuvée Brut Aÿ Champagne
111400,Red,"['Petit Verdot', 'Cabernet Sauvignon', 'Cabernet Franc', 'Merlot']","['Beef', 'Lamb', 'Game Meat', 'Poultry']",Château Lynch-Bages Pauillac (Grand Cru Classé)
111401,Dessert,"['Sémillon', 'Sauvignon Blanc']","['Fruit Dessert', 'Blue Cheese']",Château d'Yquem Sauternes
111402,Sparkling,['Pinot Noir'],"['Pork', 'Rich Fish', 'Shellfish', 'Soft Cheese']",Louis Roederer Cristal Brut Champagne (Millésimé)
111403,Red,"['Cabernet Sauvignon', 'Merlot']","['Beef', 'Lamb', 'Game Meat', 'Poultry']",Château Margaux Château Margaux (Premier Grand Cru Classé)
111404,Red,['Pinot Noir'],"['Beef', 'Veal', 'Game Meat', 'Poultry']",Louis Jadot Bourgogne Pinot Noir
