idwine;Type;Grapes;Harmonize;name
101068;Sparkling;['Chardonnay', 'Pinot Noir'];['Pork', 'Rich Fish', 'Shellfish', 'Soft Cheese'];Cave Geisse Philippe Dumont Champagne Brut Reserve Premier Cru
105953;White;['Chardonnay', 'Sauvignon Blanc'];['Pork', 'Rich Fish', 'Shellfish', 'Vegetarian', 'Poultry'];Jean Biecher Cotes de Saumon Chardonnay - Sauvignon Blanc
107542;Red;['Cabernet Sauvignon'];['Beef', 'Pasta', 'Veal'];Blue Nun Cabernet Sauvignon
107720;Red;['Merlot'];['Beef', 'Pasta', 'Veal'];Blue Nun Merlot
109088;White;['Chardonnay', 'Colombard'];['Pork', 'Rich Fish', 'Vegetarian', 'Poultry'];Medinet Blanc Demi Sec Halbtrocken
109291;Red;['Merlot'];['Beef', 'Game Meat'];Medinet Merlot
109302;Sparkling;['Chardonnay', 'Pinot Noir'];['Veal', 'Pork', 'Game Meat', 'Rich Fish', 'Vegetarian', 'Poultry'];Peter Mertes Charmelieu Classic Dry-Sec
109425;Red;['Grenache'];['Beef', 'Maturated Cheese', 'Hard Cheese'];Medinet Grenache
111204;Red;['Merlot'];['Beef', 'Pasta', 'Veal'];Peter Mertes Enjoy It Alcohol Free Merlot
111330;White;['Chardonnay', 'Colombard'];['Pork', 'Rich Fish', 'Vegetarian', 'Poultry'];Medinet Chardonnay - Colombard
111391;Sparkling;['Chardonnay'];['Pork', 'Rich Fish', 'Shellfish', 'Soft Cheese'];Dom Perignon Brut Champagne
111392;Red;['Merlot'];['Beef', 'Veal', 'Game Meat', 'Poultry'];Mouton Cadet Bordeaux Rouge
111393;Sparkling;['Chardonnay'];['Pork', 'Rich Fish', 'Shellfish', 'Soft Cheese'];Veuve Clicquot Brut (Carte Jaune) Champagne
111395;Red;['Cabernet Sauvignon', 'Cabernet Franc', 'Merlot', 'Petit Verdot'];['Beef', 'Lamb', 'Game Meat', 'Poultry'];Chateau Mouton Rothschild Pauillac (Premier Grand Cru Classe)
111397;Rose;['Vermentino'];['Pork', 'Shellfish', 'Vegetarian', 'Poultry'];Chateau d'Esclans Whispering Angel Rose
111398;Red;['Grenache'];['Beef', 'Lamb', 'Game Meat'];La Vieille Ferme Rouge
111399;Sparkling;['Pinot Meunier'];['Pork', 'Rich Fish', 'Shellfish', 'Soft Cheese'];Bollinger Special Cuvee Brut Ay Champagne
