idwine	name	link	thumb	average_rating	ratings	price	tasteKeywords_1	tasteMentions_1	flavorGroup_1	tasteKeywords_2	tasteMentions_2	flavorGroup_2	tasteKeywords_3	tasteMentions_3	flavorGroup_3	tasteKeywords_4	tasteMentions_4	flavorGroup_4	moyenne_price	tasteKeywords_5	tasteMentions_5	flavorGroup_5	tasteKeywords_6	tasteMentions_6	flavorGroup_6	tasteKeywords_7	tasteMentions_7	flavorGroup_7	tasteKeywords_8	tasteMentions_8	flavorGroup_8	tasteKeywords_9	tasteMentions_9	flavorGroup_9	tasteKeywords_10	tasteMentions_10	flavorGroup_10
109088	Medinet Blanc Demi Sec Halbtrocken	https://www.vivino.com/BR/fr/wines/154896818	https://images.vivino.com/thumbs/ACG4xobZTKaNsupzAa00Fg_375x500.jpg	3,2			cerise Bing, cerise	2	fruit rouge	pomme, abricot	2	fruit d'arbre fruitier	abricot sec	1	fruit sec	anis	1	épices																			
103981	Scanivinus GW:s Rosa	https://www.vivino.com/GB/fr/wines/160741030	https://images.vivino.com/thumbs/JtP1AOqQSAKREeNRQVSFlg_375x500.jpg	3,3			framboise, fraise, gros...	15	fruit rouge	abricot, pêche, melon	14	fruit d'arbre fruitier	pamplemousse, agrume, z...	10	agrume				7,1																		
109302	Peter Mertes Charmelieu Classic Dry-Sec	https://www.vivino.com/GB/fr/wines/2434440	https://images.vivino.com/thumbs/Wcy7tn0JTTaJeIjuazgwnQ_pb_300x300.png	2,8			pêche	1	fruit d'arbre fruitier																												
109291	Medinet Merlot	https://www.vivino.com/US-LA/fr/wines/1510809	https://images.vivino.com/thumbs/q6BmCH6hTeucoc9L11Emzg_375x500.jpg	2,9			confiture	1	fruit noir	fraise	1	fruit rouge																									
101068	Cave Geisse Philippe Dumont Champagne Brut Réserve Premier Cru	https://www.vivino.com/US-NY/fr/wines/1673417	https://images.vivino.com/thumbs/0192kckhpactn_375x500.jpg	4,3															51,69																		
108783	Medinet Halbtrocken Rosé	https://www.vivino.com/wines/1564820	https://images.vivino.com/thumbs/g3fr5zY4QKuDcumxbJaIlg_pb_300x300.png	3,4			fraise, framboise	2	fruit rouge	miel	1	Terreux																									
106916	Medinet Halbtrocken Demi Sec Rouge	https://www.vivino.com/US-VA/fr/wines/1827232	https://images.vivino.com/thumbs/BkguH_NfTSC-5hhPAE2k3Q_pb_300x300.png	3,2			cassis, confiture, prun...	14	fruit noir	fraise, fruit rouge, ce...	10	fruit rouge	chêne, vanille, caramel	10	boisé				4,23																		
107720	Blue Nun Merlot	https://www.vivino.com/US-VA/fr/wines/1999602	https://images.vivino.com/thumbs/QFZ0qirQTiu6nYgE8Xm6ZA_pb_300x300.png	3,3			fruit rouge, framboise,...	21	fruit rouge										11,03																		
105953	Jean Biecher Côtes de Saumon Chardonnay - Sauvignon Blanc	https://www.vivino.com/US-VA/fr/wines/141118849	https://images.vivino.com/thumbs/PMBWIo_BSeKhsnRuuvdnzQ_375x500.jpg	3,7			poire, pomme verte, pom...	11	fruit d'arbre fruitier	agrume, pamplemousse, c...	10	agrume							7,68																		
107542	Blue Nun Cabernet Sauvignon	https://www.vivino.com/US-NY/fr/wines/2662505	https://images.vivino.com/thumbs/fOg2BdIlQk-s-82x3K3RMA_pb_300x300.png	3,1			mûre, cassis, cassis	8	fruit noir										13,35																		
